[EVENT_TIMING] 10336 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  274 UNKNOWN                  31      23.18      21.28      24.42       1.11
  275 UNKNOWN                  31       3.98       3.46       6.39       0.49
  276 UNKNOWN                  31       4.94       3.72       5.35       0.32
  277 UNKNOWN                  31      13.89      13.13      14.72       0.39
  278 UNKNOWN                  31     210.94     208.43     213.88       1.39
  279 UNKNOWN                  31      51.73      51.46      52.02       0.14
  280 UNKNOWN                  31      35.51      34.56      38.40       0.67
  281 UNKNOWN                  31      15.31      13.40      17.48       1.57
  282 UNKNOWN                  31       3.65       3.49       3.83       0.11
  283 UNKNOWN                  31      24.67      23.97      26.77       0.79
  284 UNKNOWN                  31      42.16      39.97      42.98       0.80
  285 UNKNOWN                  31       5.09       3.66       6.26       0.99
  286 UNKNOWN                  31      22.67      20.91      25.64       1.25
  287 UNKNOWN                  31       4.12       3.01       6.72       1.12
  288 UNKNOWN                  31       4.07       3.46       4.90       0.53
  289 UNKNOWN                  31      14.34      13.10      15.20       0.57
  290 UNKNOWN                  31     210.08     206.76     213.63       1.70
  291 UNKNOWN                  31      51.75      51.45      52.01       0.15
  292 UNKNOWN                  31      35.60      35.05      37.87       0.47
  293 UNKNOWN                  31      14.18      13.44      17.28       1.23
  294 UNKNOWN                  31       4.01       3.75       5.43       0.36
  295 UNKNOWN                  31      26.16      25.52      27.60       0.36
  296 UNKNOWN                  31      39.79      39.09      41.12       0.48
  297 UNKNOWN                  31       5.26       3.67       7.39       1.12
  298 UNKNOWN                  31      22.82      21.16      24.31       1.06
  299 UNKNOWN                  31       4.22       3.54       5.10       0.41
  300 UNKNOWN                  31       4.85       3.92       5.17       0.29
  301 UNKNOWN                  31      13.70      12.85      14.64       0.46
  302 UNKNOWN                  31     211.04     207.61     214.10       1.52
  303 UNKNOWN                  31      51.60      51.34      51.98       0.19
  304 UNKNOWN                  31      36.28      34.92      38.39       1.12
  305 UNKNOWN                  31      13.99      13.44      16.01       0.59
  306 UNKNOWN                  31       3.67       3.53       3.77       0.07
  307 UNKNOWN                  31      24.82      23.93      26.69       0.75
  308 UNKNOWN                  31      41.48      39.44      42.54       0.87
  309 UNKNOWN                  31       5.16       3.76       6.60       1.13
  310 UNKNOWN                  31      23.00      21.68      24.27       0.98
  311 UNKNOWN                  31       3.96       3.45       5.20       0.30
  312 UNKNOWN                  31       4.12       3.50       5.00       0.53
  313 UNKNOWN                  31      14.40      13.11      17.40       0.74
  314 UNKNOWN                  31     210.38     206.60     213.02       1.87
  315 UNKNOWN                  31      51.66      51.21      52.05       0.18
  316 UNKNOWN                  31      35.62      35.09      36.17       0.27
  317 UNKNOWN                  31      13.74      13.40      14.04       0.13
  318 UNKNOWN                  31       3.99       3.75       4.15       0.09
  319 UNKNOWN                  31      25.72      24.08      26.28       0.46
  320 UNKNOWN                  31      46.09      43.08      49.19       1.43
  321 UNKNOWN                  31       5.35       3.94       6.32       0.94
  322 UNKNOWN                  31      21.57      20.63      23.20       0.97
  323 UNKNOWN                  31       3.06       2.91       3.20       0.08

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 323      12000.1     12.000   100.0%
TOTAL                            12000.1     12.000

Saved raw event timing to event_timing.json
