[EVENT_TIMING] 10368 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  313 UNKNOWN                  29       2.06       0.04      35.57       6.36
  314 UNKNOWN                  31      13.72       0.03      35.69      15.43
  315 UNKNOWN                  29       3.89       0.04      34.86       9.67
  316 UNKNOWN                  30       0.71       0.03       2.68       0.59
  317 UNKNOWN                  30       0.72       0.02       4.44       0.79
  318 UNKNOWN                  29       1.84       0.04      34.96       6.30
  319 UNKNOWN                  30       4.01       0.03      34.52       9.82
  320 UNKNOWN                  30       0.71       0.04       2.63       0.72
  321 UNKNOWN                  31       0.82       0.02       2.18       0.67
  322 UNKNOWN                  31       4.88       0.03      34.47      10.53
  323 UNKNOWN                  31       5.82       5.50       6.08       0.12
  324 UNKNOWN                  31       4.91       4.74       5.24       0.12

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 324       4996.8      4.997   100.0%
TOTAL                             4996.8      4.997

Saved raw event timing to event_timing.json
