[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  284 UNKNOWN                  27      12.25       0.01      33.40      15.68
  285 UNKNOWN                  25       9.43       0.01      33.81      14.83
  286 UNKNOWN                  27       3.96       0.02      33.77      10.35
  287 UNKNOWN                  27       1.46       0.01      32.53       6.10
  288 UNKNOWN                  27       0.31       0.01       1.82       0.41
  289 UNKNOWN                  26       1.53       0.01      33.39       6.38
  290 UNKNOWN                  28       0.39       0.01       1.36       0.37
  291 UNKNOWN                  24       0.23       0.01       1.33       0.25
  292 UNKNOWN                  25       1.54       0.01      32.28       6.28
  293 UNKNOWN                  23       5.92       0.01      33.73      12.33
  294 UNKNOWN                  27       0.30       0.01       0.92       0.23
  295 UNKNOWN                  29       5.30       4.88       5.64       0.17
  296 UNKNOWN                  29       5.02       4.76       5.25       0.11

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4308.9      4.309   100.0%
TOTAL                             4308.9      4.309

Saved raw event timing to event_timing.json
